actual_demand,baseline_forecast,error,absolute_error,cumulative_error
2666.0,2262.0,404.0,404.0,404.0
2559.0,2262.0,297.0,297.0,701.0
2935.0,2262.0,673.0,673.0,1374.0
2647.0,2262.0,385.0,385.0,1759.0
2855.0,2262.0,593.0,593.0,2352.0
2988.0,2262.0,726.0,726.0,3078.0
3088.0,2262.0,826.0,826.0,3904.0
3442.0,2262.0,1180.0,1180.0,5084.0
3310.0,2262.0,1048.0,1048.0,6132.0
3021.0,2262.0,759.0,759.0,6891.0
2722.0,2262.0,460.0,460.0,7351.0
2937.0,2262.0,675.0,675.0,8026.0
3005.0,2262.0,743.0,743.0,8769.0
2279.0,2262.0,17.0,17.0,8786.0
2617.0,2262.0,355.0,355.0,9141.0
2577.0,2262.0,315.0,315.0,9456.0
2182.0,2262.0,-80.0,80.0,9376.0
1973.0,2262.0,-289.0,289.0,9087.0
2311.0,2262.0,49.0,49.0,9136.0
2156.0,2262.0,-106.0,106.0,9030.0
2242.0,2262.0,-20.0,20.0,9010.0
2626.0,2262.0,364.0,364.0,9374.0
2459.0,2262.0,197.0,197.0,9571.0
2118.0,2262.0,-144.0,144.0,9427.0
1921.0,2262.0,-341.0,341.0,9086.0
2395.0,2262.0,133.0,133.0,9219.0
2248.0,2262.0,-14.0,14.0,9205.0
2151.0,2262.0,-111.0,111.0,9094.0
2577.0,2262.0,315.0,315.0,9409.0
2497.0,2262.0,235.0,235.0,9644.0
2243.0,2262.0,-19.0,19.0,9625.0
2036.0,2262.0,-226.0,226.0,9399.0
2324.0,2262.0,62.0,62.0,9461.0
2284.0,2262.0,22.0,22.0,9483.0
2237.0,2262.0,-25.0,25.0,9458.0
2540.0,2262.0,278.0,278.0,9736.0
2486.0,2262.0,224.0,224.0,9960.0
2236.0,2262.0,-26.0,26.0,9934.0
1957.0,2262.0,-305.0,305.0,9629.0
2173.0,2262.0,-89.0,89.0,9540.0
2315.0,2262.0,53.0,53.0,9593.0
2354.0,2262.0,92.0,92.0,9685.0
2763.0,2262.0,501.0,501.0,10186.0
2655.0,2262.0,393.0,393.0,10579.0
2232.0,2262.0,-30.0,30.0,10549.0
1995.0,2262.0,-267.0,267.0,10282.0
2208.0,2262.0,-54.0,54.0,10228.0
2164.0,2262.0,-98.0,98.0,10130.0
2203.0,2262.0,-59.0,59.0,10071.0
2667.0,2262.0,405.0,405.0,10476.0
2704.0,2262.0,442.0,442.0,10918.0
2291.0,2262.0,29.0,29.0,10947.0
2066.0,2262.0,-196.0,196.0,10751.0
2231.0,2262.0,-31.0,31.0,10720.0
2265.0,2262.0,3.0,3.0,10723.0
2308.0,2262.0,46.0,46.0,10769.0
2660.0,2262.0,398.0,398.0,11167.0
2770.0,2262.0,508.0,508.0,11675.0
2164.0,2262.0,-98.0,98.0,11577.0
2076.0,2262.0,-186.0,186.0,11391.0
2327.0,2262.0,65.0,65.0,11456.0
2228.0,2262.0,-34.0,34.0,11422.0
2322.0,2262.0,60.0,60.0,11482.0
2672.0,2262.0,410.0,410.0,11892.0
2531.0,2262.0,269.0,269.0,12161.0
2187.0,2262.0,-75.0,75.0,12086.0
2045.0,2262.0,-217.0,217.0,11869.0
2177.0,2262.0,-85.0,85.0,11784.0
2309.0,2262.0,47.0,47.0,11831.0
2221.0,2262.0,-41.0,41.0,11790.0
2626.0,2262.0,364.0,364.0,12154.0
2514.0,2262.0,252.0,252.0,12406.0
2785.0,2262.0,523.0,523.0,12929.0
2045.0,2262.0,-217.0,217.0,12712.0
2508.0,2262.0,246.0,246.0,12958.0
2072.0,2262.0,-190.0,190.0,12768.0
2319.0,2262.0,57.0,57.0,12825.0
2592.0,2262.0,330.0,330.0,13155.0
2612.0,2262.0,350.0,350.0,13505.0
2326.0,2262.0,64.0,64.0,13569.0
2435.0,2262.0,173.0,173.0,13742.0
2612.0,2262.0,350.0,350.0,14092.0
2500.0,2262.0,238.0,238.0,14330.0
2517.0,2262.0,255.0,255.0,14585.0
2960.0,2262.0,698.0,698.0,15283.0
2938.0,2262.0,676.0,676.0,15959.0
2558.0,2262.0,296.0,296.0,16255.0
2369.0,2262.0,107.0,107.0,16362.0
2435.0,2262.0,173.0,173.0,16535.0
3273.0,2262.0,1011.0,1011.0,17546.0
3364.0,2262.0,1102.0,1102.0,18648.0
4084.0,2262.0,1822.0,1822.0,20470.0
3918.0,2262.0,1656.0,1656.0,22126.0
3400.0,2262.0,1138.0,1138.0,23264.0
3090.0,2262.0,828.0,828.0,24092.0
3408.0,2262.0,1146.0,1146.0,25238.0
3470.0,2262.0,1208.0,1208.0,26446.0
3501.0,2262.0,1239.0,1239.0,27685.0
4166.0,2262.0,1904.0,1904.0,29589.0
3849.0,2262.0,1587.0,1587.0,31176.0
2493.0,2262.0,231.0,231.0,31407.0
2279.0,2262.0,17.0,17.0,31424.0
2586.0,2262.0,324.0,324.0,31748.0
2579.0,2262.0,317.0,317.0,32065.0
2660.0,2262.0,398.0,398.0,32463.0
3104.0,2262.0,842.0,842.0,33305.0
3069.0,2262.0,807.0,807.0,34112.0
2648.0,2262.0,386.0,386.0,34498.0
2263.0,2262.0,1.0,1.0,34499.0
2569.0,2262.0,307.0,307.0,34806.0
