date,stockout_records,reorder_point_breaches,lead_time_risk_records
2025-01-01,1,27,35
2025-01-02,1,32,37
2025-01-03,4,29,33
2025-01-04,5,32,39
2025-01-05,11,35,39
2025-01-06,12,32,34
2025-01-07,13,31,33
2025-01-08,18,33,35
2025-01-09,16,33,34
2025-01-10,21,34,35
2025-01-11,24,34,35
2025-01-12,15,34,35
2025-01-13,23,34,35
2025-01-14,22,34,34
2025-01-15,19,32,32
2025-01-16,19,33,34
2025-01-17,23,33,34
2025-01-18,16,30,34
2025-01-19,18,32,34
2025-01-20,21,31,34
2025-01-21,14,30,34
2025-01-22,21,31,34
2025-01-23,25,31,34
2025-01-24,15,29,33
2025-01-25,17,31,33
2025-01-26,27,31,33
2025-01-27,20,30,32
2025-01-28,16,31,32
2025-01-29,21,31,33
2025-01-30,15,31,32
2025-01-31,22,31,32
2025-02-01,26,31,31
2025-02-02,28,32,33
2025-02-03,21,31,33
2025-02-04,25,32,33
2025-02-05,27,33,33
2025-02-06,19,31,32
2025-02-07,18,31,32
2025-02-08,23,33,33
2025-02-09,19,33,33
2025-02-10,19,32,35
2025-02-11,25,33,35
2025-02-12,17,33,35
2025-02-13,21,34,35
2025-02-14,19,33,35
2025-02-15,19,32,34
2025-02-16,25,33,35
2025-02-17,26,33,35
2025-02-18,19,32,35
2025-02-19,25,33,35
2025-02-20,26,33,34
2025-02-21,17,33,34
2025-02-22,26,33,34
2025-02-23,31,33,34
2025-02-24,14,32,34
2025-02-25,23,33,34
2025-02-26,27,32,34
2025-02-27,23,32,34
2025-02-28,19,31,33
2025-03-01,28,32,34
2025-03-02,31,32,34
2025-03-03,24,31,34
2025-03-04,27,32,34
2025-03-05,28,32,34
2025-03-06,20,32,34
2025-03-07,22,32,34
2025-03-08,25,32,35
2025-03-09,22,31,33
2025-03-10,23,32,35
2025-03-11,25,33,35
2025-03-12,16,32,34
2025-03-13,24,32,35
2025-03-14,19,33,34
2025-03-15,18,32,34
2025-03-16,18,33,34
2025-03-17,25,33,34
2025-03-18,19,31,33
2025-03-19,26,33,34
2025-03-20,28,33,34
2025-03-21,23,32,33
2025-03-22,30,33,34
2025-03-23,33,33,34
2025-03-24,19,32,33
2025-03-25,27,33,34
2025-03-26,31,33,33
2025-03-27,23,33,33
2025-03-28,22,33,33
2025-03-29,29,33,33
2025-03-30,18,33,33
2025-03-31,22,33,33
2025-04-01,26,33,33
2025-04-02,33,33,33
2025-04-03,26,32,33
2025-04-04,28,33,33
2025-04-05,28,32,32
2025-04-06,22,33,33
2025-04-07,18,33,33
2025-04-08,21,33,34
2025-04-09,21,33,34
2025-04-10,25,33,35
2025-04-11,28,33,35
2025-04-12,19,34,35
2025-04-13,25,34,35
2025-04-14,20,33,34
2025-04-15,24,35,35
2025-04-16,21,35,36
2025-04-17,26,34,35
2025-04-18,21,35,36
2025-04-19,27,35,36
2025-04-20,29,35,36
2025-04-21,19,32,35
2025-04-22,22,35,36
2025-04-23,28,36,36
2025-04-24,21,34,35
2025-04-25,27,35,35
2025-04-26,28,36,36
2025-04-27,26,33,35
2025-04-28,22,34,36
2025-04-29,26,36,36
2025-04-30,20,33,34
2025-05-01,26,33,35
2025-05-02,28,34,35
2025-05-03,29,34,34
2025-05-04,30,34,35
2025-05-05,32,35,36
2025-05-06,23,33,34
2025-05-07,19,35,37
2025-05-08,24,37,37
2025-05-09,22,36,37
2025-05-10,28,37,37
2025-05-11,31,37,37
2025-05-12,22,37,37
2025-05-13,29,37,37
2025-05-14,24,37,37
2025-05-15,25,37,37
2025-05-16,29,37,37
2025-05-17,33,37,37
2025-05-18,22,35,36
2025-05-19,26,36,38
2025-05-20,31,37,37
2025-05-21,24,34,36
2025-05-22,26,36,38
2025-05-23,29,38,38
2025-05-24,22,34,35
2025-05-25,24,36,37
2025-05-26,26,37,38
2025-05-27,28,36,36
2025-05-28,21,37,37
2025-05-29,28,37,38
2025-05-30,24,35,36
2025-05-31,30,38,38
2025-06-01,34,38,38
2025-06-02,36,38,39
2025-06-03,33,38,39
2025-06-04,32,38,39
2025-06-05,36,38,39
2025-06-06,26,37,39
2025-06-07,27,39,39
2025-06-08,32,39,39
2025-06-09,29,39,39
2025-06-10,35,39,39
2025-06-11,38,39,39
2025-06-12,26,39,39
2025-06-13,32,39,39
2025-06-14,31,39,39
2025-06-15,31,39,39
2025-06-16,34,39,39
2025-06-17,37,39,39
2025-06-18,29,37,38
2025-06-19,37,39,39
2025-06-20,35,39,39
2025-06-21,26,39,39
2025-06-22,32,38,38
2025-06-23,36,39,39
2025-06-24,21,37,38
2025-06-25,30,39,39
2025-06-26,35,39,39
2025-06-27,33,37,39
2025-06-28,24,39,40
2025-06-29,32,40,40
2025-06-30,21,37,39
2025-07-01,29,40,40
2025-07-02,34,40,40
2025-07-03,32,39,40
2025-07-04,36,40,40
2025-07-05,39,40,40
2025-07-06,27,38,39
2025-07-07,29,40,40
2025-07-08,34,40,40
2025-07-09,29,38,38
2025-07-10,31,40,40
2025-07-11,35,40,40
2025-07-12,27,40,40
2025-07-13,28,40,40
2025-07-14,27,40,40
2025-07-15,27,40,40
2025-07-16,30,40,40
2025-07-17,38,40,40
2025-07-18,27,40,40
2025-07-19,33,40,40
2025-07-20,33,40,40
2025-07-21,25,39,40
2025-07-22,31,40,40
2025-07-23,33,40,40
2025-07-24,21,39,40
2025-07-25,30,40,40
2025-07-26,36,40,40
2025-07-27,29,38,39
2025-07-28,26,40,40
2025-07-29,30,40,40
2025-07-30,24,38,39
2025-07-31,31,39,39
2025-08-01,37,40,40
2025-08-02,40,40,40
2025-08-03,33,39,40
2025-08-04,35,40,40
2025-08-05,38,40,40
2025-08-06,30,40,40
2025-08-07,30,40,40
2025-08-08,34,40,40
2025-08-09,33,40,40
2025-08-10,31,40,40
2025-08-11,34,40,40
2025-08-12,28,40,40
2025-08-13,37,40,40
2025-08-14,30,40,40
2025-08-15,29,40,40
2025-08-16,34,40,40
2025-08-17,37,40,40
2025-08-18,25,40,40
2025-08-19,33,40,40
2025-08-20,34,40,40
2025-08-21,28,40,40
2025-08-22,33,40,40
2025-08-23,40,40,40
2025-08-24,21,40,40
2025-08-25,28,40,40
2025-08-26,36,40,40
2025-08-27,30,39,40
2025-08-28,27,39,39
2025-08-29,34,40,40
2025-08-30,24,40,40
2025-08-31,35,40,40
2025-09-01,39,40,40
2025-09-02,40,40,40
2025-09-03,32,39,40
2025-09-04,34,40,40
2025-09-05,35,40,40
2025-09-06,27,39,40
2025-09-07,23,40,40
2025-09-08,29,40,40
2025-09-09,30,39,39
2025-09-10,31,39,40
2025-09-11,34,40,40
2025-09-12,23,39,40
2025-09-13,33,40,40
2025-09-14,27,40,40
2025-09-15,24,39,40
2025-09-16,30,40,40
2025-09-17,35,40,40
2025-09-18,25,39,40
2025-09-19,29,40,40
2025-09-20,30,40,40
2025-09-21,29,40,40
2025-09-22,31,40,40
2025-09-23,36,38,38
2025-09-24,25,39,40
2025-09-25,29,40,40
2025-09-26,36,40,40
2025-09-27,30,39,40
2025-09-28,23,39,39
2025-09-29,31,40,40
2025-09-30,25,39,39
2025-10-01,36,40,40
2025-10-02,40,40,40
2025-10-03,33,40,40
2025-10-04,38,40,40
2025-10-05,37,38,38
2025-10-06,28,40,40
2025-10-07,35,40,40
2025-10-08,37,40,40
2025-10-09,32,40,40
2025-10-10,35,40,40
2025-10-11,38,40,40
2025-10-12,25,40,40
2025-10-13,27,40,40
2025-10-14,20,40,40
2025-10-15,23,38,39
2025-10-16,28,40,40
2025-10-17,35,40,40
2025-10-18,28,40,40
2025-10-19,32,40,40
2025-10-20,32,39,39
2025-10-21,23,39,40
2025-10-22,28,40,40
2025-10-23,36,40,40
2025-10-24,25,40,40
2025-10-25,27,40,40
2025-10-26,32,40,40
2025-10-27,27,39,40
2025-10-28,25,39,39
2025-10-29,33,40,40
2025-10-30,22,39,40
2025-10-31,31,40,40
2025-11-01,40,40,40
2025-11-02,40,40,40
2025-11-03,32,39,39
2025-11-04,36,40,40
2025-11-05,36,40,40
2025-11-06,27,38,39
2025-11-07,26,40,40
2025-11-08,31,40,40
2025-11-09,28,39,40
2025-11-10,30,40,40
2025-11-11,36,40,40
2025-11-12,26,38,39
2025-11-13,29,40,40
2025-11-14,28,40,40
2025-11-15,31,40,40
2025-11-16,32,40,40
2025-11-17,36,40,40
2025-11-18,29,39,40
2025-11-19,34,40,40
2025-11-20,37,40,40
2025-11-21,29,39,40
2025-11-22,36,40,40
2025-11-23,40,40,40
2025-11-24,26,40,40
2025-11-25,34,40,40
2025-11-26,37,40,40
2025-11-27,31,39,39
2025-11-28,29,40,40
2025-11-29,38,40,40
2025-11-30,29,39,40
2025-12-01,35,40,40
2025-12-02,38,39,39
2025-12-03,34,39,39
2025-12-04,37,40,40
2025-12-05,38,39,39
2025-12-06,29,40,40
2025-12-07,30,40,40
2025-12-08,33,40,40
2025-12-09,30,38,39
2025-12-10,29,40,40
2025-12-11,36,40,40
2025-12-12,27,39,40
2025-12-13,32,40,40
2025-12-14,30,40,40
2025-12-15,30,40,40
2025-12-16,37,40,40
2025-12-17,38,40,40
2025-12-18,29,39,40
2025-12-19,36,39,39
2025-12-20,37,40,40
2025-12-21,31,39,40
2025-12-22,34,40,40
2025-12-23,39,40,40
2025-12-24,25,38,38
2025-12-25,33,40,40
2025-12-26,38,40,40
2025-12-27,31,39,40
2025-12-28,29,40,40
2025-12-29,38,40,40
2025-12-30,30,40,40
2025-12-31,37,40,40
2026-01-01,40,40,40
2026-01-02,40,40,40
2026-01-03,33,40,40
2026-01-04,36,40,40
2026-01-05,38,40,40
2026-01-06,31,39,39
2026-01-07,30,39,40
2026-01-08,33,40,40
2026-01-09,30,39,39
2026-01-10,34,40,40
2026-01-11,37,39,39
2026-01-12,24,40,40
2026-01-13,29,40,40
2026-01-14,30,40,40
2026-01-15,25,39,40
2026-01-16,33,40,40
2026-01-17,38,40,40
2026-01-18,28,40,40
2026-01-19,33,40,40
2026-01-20,34,39,39
2026-01-21,27,40,40
2026-01-22,35,40,40
2026-01-23,39,40,40
2026-01-24,25,40,40
2026-01-25,32,39,39
2026-01-26,37,40,40
2026-01-27,31,39,39
2026-01-28,27,40,40
2026-01-29,35,40,40
2026-01-30,26,39,40
2026-01-31,30,39,39
2026-02-01,39,40,40
2026-02-02,40,40,40
2026-02-03,35,40,40
2026-02-04,37,40,40
2026-02-05,40,40,40
2026-02-06,31,39,39
2026-02-07,28,40,40
2026-02-08,32,40,40
2026-02-09,29,39,40
2026-02-10,33,40,40
2026-02-11,38,40,40
2026-02-12,25,39,40
2026-02-13,31,40,40
2026-02-14,30,40,40
2026-02-15,29,39,40
2026-02-16,30,40,40
2026-02-17,38,39,39
2026-02-18,27,40,40
2026-02-19,32,40,40
2026-02-20,35,40,40
2026-02-21,25,39,40
2026-02-22,29,40,40
2026-02-23,38,40,40
2026-02-24,24,39,40
2026-02-25,29,40,40
2026-02-26,35,40,40
2026-02-27,30,40,40
2026-02-28,27,40,40
2026-03-01,32,40,40
2026-03-02,37,40,40
2026-03-03,34,40,40
2026-03-04,35,40,40
2026-03-05,36,40,40
2026-03-06,32,39,39
2026-03-07,35,40,40
2026-03-08,33,40,40
2026-03-09,29,39,39
2026-03-10,29,39,40
2026-03-11,35,40,40
2026-03-12,24,39,40
2026-03-13,31,40,40
2026-03-14,31,40,40
2026-03-15,31,40,40
2026-03-16,36,40,40
2026-03-17,39,40,40
2026-03-18,30,40,40
2026-03-19,36,39,39
2026-03-20,36,40,40
2026-03-21,30,40,40
2026-03-22,38,40,40
2026-03-23,39,39,39
2026-03-24,26,39,40
2026-03-25,36,40,40
2026-03-26,36,39,39
2026-03-27,33,40,40
2026-03-28,26,40,40
2026-03-29,31,40,40
2026-03-30,22,39,40
2026-03-31,28,40,40
2026-04-01,37,40,40
2026-04-02,40,40,40
2026-04-03,35,40,40
2026-04-04,37,40,40
2026-04-05,39,40,40
2026-04-06,27,40,40
2026-04-07,28,40,40
2026-04-08,29,39,39
2026-04-09,29,38,39
2026-04-10,30,40,40
2026-04-11,36,40,40
2026-04-12,26,39,39
2026-04-13,29,39,40
2026-04-14,28,40,40
2026-04-15,24,39,39
2026-04-16,29,39,40
2026-04-17,36,40,40
2026-04-18,26,39,40
2026-04-19,32,40,40
2026-04-20,36,40,40
2026-04-21,25,38,39
2026-04-22,30,40,40
2026-04-23,37,40,40
2026-04-24,24,40,40
2026-04-25,33,40,40
2026-04-26,35,40,40
2026-04-27,30,40,40
2026-04-28,27,40,40
2026-04-29,34,40,40
2026-04-30,24,40,40
2026-05-01,29,39,39
2026-05-02,38,40,40
2026-05-03,32,38,38
2026-05-04,35,39,39
2026-05-05,38,40,40
2026-05-06,29,38,38
2026-05-07,27,38,39
2026-05-08,34,39,39
2026-05-09,29,38,39
2026-05-10,34,39,39
2026-05-11,36,40,40
2026-05-12,25,39,39
2026-05-13,30,39,39
2026-05-14,28,40,40
2026-05-15,27,38,38
2026-05-16,34,40,40
2026-05-17,37,39,39
2026-05-18,26,39,39
2026-05-19,34,40,40
2026-05-20,35,40,40
2026-05-21,23,38,39
2026-05-22,30,40,40
2026-05-23,38,40,40
2026-05-24,22,39,40
2026-05-25,31,40,40
2026-05-26,37,40,40
2026-05-27,30,39,40
2026-05-28,25,40,40
2026-05-29,36,40,40
2026-05-30,25,39,39
2026-05-31,31,39,40
2026-06-01,36,40,40
2026-06-02,39,39,39
2026-06-03,33,39,40
2026-06-04,36,39,39
2026-06-05,40,40,40
2026-06-06,29,40,40
2026-06-07,32,40,40
2026-06-08,34,40,40
2026-06-09,32,40,40
2026-06-10,36,40,40
2026-06-11,37,40,40
2026-06-12,31,40,40
2026-06-13,39,40,40
2026-06-14,32,40,40
2026-06-15,34,40,40
2026-06-16,36,40,40
2026-06-17,40,40,40
2026-06-18,29,40,40
2026-06-19,37,40,40
2026-06-20,37,40,40
2026-06-21,25,40,40
2026-06-22,32,40,40
2026-06-23,39,40,40
2026-06-24,25,40,40
2026-06-25,31,40,40
2026-06-26,39,40,40
2026-06-27,32,40,40
2026-06-28,30,40,40
2026-06-29,35,40,40
2026-06-30,22,38,38
