date,sku_id,inventory_position,target_inventory,recommended_order_qty,inventory_risk,recommendation_priority,recommendation
2026-01-28,SKU011,0.0,1231,1231,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-28,SKU011,0.0,1231,1231,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-14,SKU011,0.0,1231,1231,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-28,SKU011,0.0,1231,1231,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-28,SKU011,0.0,1231,1231,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-28,SKU011,0.0,1231,1231,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-14,SKU011,1.0,1231,1230,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-14,SKU011,11.0,1231,1220,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-28,SKU011,28.0,1231,1203,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-14,SKU011,30.0,1231,1201,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-28,SKU011,40.0,1231,1191,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-28,SKU011,43.0,1231,1188,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-31,SKU011,44.0,1231,1187,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-29,SKU011,45.0,1231,1186,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-29,SKU011,45.0,1231,1186,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-11,SKU011,45.0,1231,1186,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-25,SKU011,46.0,1231,1185,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-08,SKU011,47.0,1231,1184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-01,SKU011,47.0,1231,1184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-09,SKU011,47.0,1231,1184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-07,SKU011,47.0,1231,1184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-17,SKU011,47.0,1231,1184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
