date,units_sold,revenue
2025-01-01,1358.0,5547857.6
2025-01-02,1394.0,5498482.84
2025-01-03,1616.0,6393650.07
2025-01-04,1636.0,6665035.04
2025-01-05,1458.0,6232519.54
2025-01-06,1277.0,5156021.92
2025-01-07,1474.0,5751110.350000001
2025-01-08,1458.0,5822808.95
2025-01-09,1496.0,5789815.16
2025-01-10,2101.0,8395726.0
2025-01-11,2317.0,8565121.27
2025-01-12,2031.0,7628419.02
2025-01-13,1808.0,6764625.46
2025-01-14,2142.0,8164633.7
2025-01-15,2113.0,7832401.02
2025-01-16,1537.0,6214847.31
2025-01-17,1924.0,7972499.97
2025-01-18,1805.0,7487661.4
2025-01-19,1682.0,6885133.92
2025-01-20,1439.0,5900687.6
2025-01-21,1628.0,6885802.48
2025-01-22,1695.0,6977385.42
2025-01-23,1648.0,6867508.5
2025-01-24,1956.0,7869003.930000001
2025-01-25,1941.0,7803300.64
2025-01-26,2025.0,8130723.21
2025-01-27,1531.0,6218641.53
2025-01-28,1661.0,6816983.87
2025-01-29,1642.0,6597597.71
2025-01-30,1626.0,6569421.96
2025-01-31,1778.0,7132509.83
2025-02-01,1980.0,7720492.98
2025-02-02,1812.0,7398938.59
2025-02-03,1569.0,6048047.41
2025-02-04,1814.0,7190040.49
2025-02-05,1807.0,7142892.64
2025-02-06,1802.0,7097112.56
2025-02-07,2097.0,8389872.58
2025-02-08,2191.0,8498502.23
2025-02-09,1834.0,7295939.899999999
2025-02-10,1695.0,6718959.51
2025-02-11,1766.0,7014557.28
2025-02-12,1836.0,7248256.63
2025-02-13,1936.0,7537072.4399999995
2025-02-14,2080.0,8368015.26
2025-02-15,2102.0,8351048.04
2025-02-16,1814.0,7075503.0600000005
2025-02-17,1648.0,6549319.59
2025-02-18,1784.0,7197585.11
2025-02-19,1859.0,7416797.83
2025-02-20,2051.0,7627993.69
2025-02-21,2227.0,8742842.27
2025-02-22,2170.0,8307455.67
2025-02-23,1974.0,7439387.010000001
2025-02-24,1748.0,6600439.16
2025-02-25,1995.0,7694968.359999999
2025-02-26,1923.0,7322982.5
2025-02-27,1889.0,7296320.6899999995
2025-02-28,2233.0,8467034.73
2025-03-01,1965.0,7744367.45
2025-03-02,1696.0,6584439.16
2025-03-03,1533.0,5872784.2
2025-03-04,1809.0,6639501.67
2025-03-05,1817.0,6952119.83
2025-03-06,1752.0,6678161.29
2025-03-07,2095.0,8154723.54
2025-03-08,2220.0,8125579.73
2025-03-09,1774.0,6470669.12
2025-03-10,1716.0,6630515.85
2025-03-11,1842.0,7153496.38
2025-03-12,1842.0,7034715.23
2025-03-13,1819.0,6967594.33
2025-03-14,2053.0,8178812.84
2025-03-15,2085.0,8036908.25
2025-03-16,1810.0,7266971.89
2025-03-17,1521.0,5901755.26
2025-03-18,1799.0,6956364.3
2025-03-19,1795.0,6847858.73
2025-03-20,2536.0,8933279.790000001
2025-03-21,3047.0,10964735.67
2025-03-22,2782.0,10401725.89
2025-03-23,2423.0,8814933.709999999
2025-03-24,2146.0,7679589.7700000005
2025-03-25,2477.0,8982449.56
2025-03-26,2440.0,8681850.39
2025-03-27,2532.0,9071051.41
2025-03-28,2108.0,7928153.74
2025-03-29,2019.0,7852223.1
2025-03-30,1885.0,7086594.73
2025-03-31,1653.0,6305885.27
2025-04-01,1872.0,7109183.28
2025-04-02,1806.0,6790664.28
2025-04-03,2342.0,6763758.31
2025-04-04,2040.0,7828849.4
2025-04-05,2091.0,8195111.56
2025-04-06,1711.0,6556103.04
2025-04-07,1657.0,6300547.72
2025-04-08,1729.0,6637472.75
2025-04-09,1813.0,7069608.67
2025-04-10,1984.0,7749672.25
2025-04-11,2147.0,8221591.9
2025-04-12,2107.0,8051941.63
2025-04-13,1814.0,7298995.03
2025-04-14,1674.0,6413674.77
2025-04-15,1978.0,7731230.37
2025-04-16,1940.0,7666746.45
2025-04-17,1947.0,7917563.55
2025-04-18,2149.0,8562722.33
2025-04-19,2252.0,8789478.36
2025-04-20,1827.0,7396081.14
2025-04-21,1748.0,6968918.13
2025-04-22,1840.0,7145695.19
2025-04-23,1812.0,7512698.73
2025-04-24,1883.0,7298707.77
2025-04-25,2160.0,8603479.09
2025-04-26,2181.0,8539466.83
2025-04-27,1839.0,7138299.95
2025-04-28,1684.0,6839796.77
2025-04-29,1978.0,7769168.21
2025-04-30,1825.0,7240412.17
2025-05-01,1937.0,7723701.24
2025-05-02,2287.0,9031741.85
2025-05-03,2261.0,8848095.13
2025-05-04,1895.0,7623492.15
2025-05-05,1803.0,7155722.41
