date,sku_id,units_sold,revenue,price,promo_flag,calculated_revenue,revenue_difference,revenue_consistency_flag,category,subcategory,launch_date,unit_cost,list_price,sku_quality_flag,week,month,season,is_holiday,promo_event,promo_flag_calendar,on_hand_units,on_order_units,lead_time_days,reorder_point,inventory_quality_flag,day_of_week,day_of_month,week_of_year,quarter,year,is_weekend,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_14,rolling_std_28,demand_trend_7_28,promo_demand_interaction,price_change,stock_gap,stockout_flag,total_available_stock,promo_lag_1
2025-01-01,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,1,1,Winter,0,,0,284.0,125,6.0,255,OK,2,1,1,1,2025,0,,,,,,,,,,,,,0.0,29.0,0,409.0,0.0
2025-01-02,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,1,1,Winter,0,,0,215.0,128,6.0,255,OK,3,2,1,1,2025,0,52.0,,,,,,,,,,,,0.0,-40.0,0,343.0,0.0
2025-01-03,SKU001,49.0,231783.72,4664.22,0,228546.78,3236.9400000000023,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,1,1,Winter,0,,0,166.0,186,6.0,255,OK,4,3,1,1,2025,0,69.0,,,,,,,,,,,,-0.013965346660239852,-89.0,0,352.0,0.0
2025-01-04,SKU001,74.0,350040.72,7387.17,0,546650.58,-196609.86,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,1,1,Winter,0,,0,92.0,62,6.0,255,OK,5,4,1,1,2025,1,49.0,,,,,,,,,,,,0.5837953612822722,-163.0,0,154.0,0.0
2025-01-05,SKU001,43.0,203402.04,4730.28,0,203402.04,2.9103830456733704e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,1,1,Winter,0,,0,49.0,112,6.0,255,OK,6,5,1,1,2025,1,74.0,,,,,,,,,,,,-0.359662766661658,-206.0,0,161.0,0.0
2025-01-06,SKU001,56.0,264895.68,1404.39,0,78645.84000000001,186249.84,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,2,1,Winter,0,,0,50.0,0,6.0,255,OK,0,6,2,1,2025,0,43.0,,,,,,,,,,,,-0.7031063700246074,-205.0,0,50.0,0.0
2025-01-07,SKU001,46.0,217592.88,4730.28,0,217592.88,2.9103830456733704e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,2,1,Winter,0,,0,4.0,64,6.0,255,OK,1,7,2,1,2025,0,56.0,,,,,,,,,,,,2.3682096853438144,-251.0,0,68.0,0.0
2025-01-08,SKU001,51.0,241244.28,6462.39,0,329581.89,-88337.61000000002,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,2,1,Winter,0,,0,0.0,127,6.0,255,OK,2,8,2,1,2025,0,46.0,52.0,,,55.57142857142857,,,11.731114508820022,,,,0.0,0.36617494101829084,-255.0,1,127.0,0.0
2025-01-09,SKU001,65.0,307468.2,6462.39,0,420055.35,-112587.15000000002,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,2,1,Winter,0,,0,0.0,43,6.0,255,OK,3,9,2,1,2025,0,51.0,69.0,,,55.42857142857143,,,11.787806452108931,,,,0.0,0.0,-255.0,1,43.0,0.0
2025-01-10,SKU001,70.0,304630.03,3737.54,1,261627.8,43002.23000000004,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,2,1,Winter,0,New Year Sale,1,0.0,49,6.0,255,OK,4,10,2,1,2025,0,65.0,49.0,,,54.857142857142854,,,11.096975134821973,,,,54.857142857142854,-0.42164740908549314,-255.0,1,49.0,0.0
2025-01-11,SKU001,84.0,365556.04,4730.28,1,397343.52,-31787.47999999998,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,2,1,Winter,0,New Year Sale,1,0.0,65,6.0,255,OK,5,11,2,1,2025,1,70.0,74.0,,,57.857142857142854,,,12.047524938461725,,,,57.857142857142854,0.26561321082851275,-255.0,1,65.0,1.0
