date,sku_id,category,subcategory,units_sold,on_hand_units,on_order_units,lead_time_days,reorder_point,inventory_position,target_inventory,recommended_order_qty,inventory_risk,recommendation_priority,recommendation
2025-01-01,SKU001,Furniture,Chair,52.0,284.0,125,6.0,255,409.0,255,0,OVERSTOCK_RISK,LOW,NO_ACTION
2025-01-02,SKU001,Furniture,Chair,69.0,215.0,128,6.0,255,343.0,255,0,HEALTHY,LOW,NO_ACTION
2025-01-03,SKU001,Furniture,Chair,49.0,166.0,186,6.0,255,352.0,255,0,HEALTHY,LOW,NO_ACTION
2025-01-04,SKU001,Furniture,Chair,74.0,92.0,62,6.0,255,154.0,255,101,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-05,SKU001,Furniture,Chair,43.0,49.0,112,6.0,255,161.0,255,94,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-06,SKU001,Furniture,Chair,56.0,50.0,0,6.0,255,50.0,255,205,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-07,SKU001,Furniture,Chair,46.0,4.0,64,6.0,255,68.0,255,187,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-08,SKU001,Furniture,Chair,51.0,0.0,127,6.0,255,127.0,255,128,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-09,SKU001,Furniture,Chair,65.0,0.0,43,6.0,255,43.0,255,212,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-10,SKU001,Furniture,Chair,70.0,0.0,49,6.0,255,49.0,255,206,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-11,SKU001,Furniture,Chair,84.0,0.0,65,6.0,255,65.0,255,190,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-12,SKU001,Furniture,Chair,59.0,51.0,0,6.0,255,51.0,255,204,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-13,SKU001,Furniture,Chair,43.0,8.0,187,6.0,255,195.0,255,60,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-14,SKU001,Furniture,Chair,66.0,0.0,139,6.0,255,139.0,255,116,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-15,SKU001,Furniture,Chair,74.0,0.0,135,6.0,255,135.0,255,120,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-16,SKU001,Furniture,Chair,50.0,0.0,87,6.0,255,87.0,255,168,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-17,SKU001,Furniture,Chair,40.0,0.0,39,6.0,255,39.0,255,216,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-18,SKU001,Furniture,Chair,58.0,101.0,0,6.0,255,101.0,255,154,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-19,SKU001,Furniture,Chair,66.0,35.0,30,6.0,255,65.0,255,190,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-20,SKU001,Furniture,Chair,41.0,0.0,149,6.0,255,149.0,255,106,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-21,SKU001,Furniture,Chair,54.0,0.0,85,6.0,255,85.0,255,170,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-22,SKU001,Furniture,Chair,58.0,0.0,105,6.0,255,105.0,255,150,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-23,SKU001,Furniture,Chair,77.0,0.0,112,6.0,255,112.0,255,143,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-24,SKU001,Furniture,Chair,61.0,4.0,0,6.0,255,4.0,255,251,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-25,SKU001,Furniture,Chair,51.0,0.0,137,6.0,255,137.0,255,118,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-26,SKU001,Furniture,Chair,78.0,0.0,71,6.0,255,71.0,255,184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-27,SKU001,Furniture,Chair,58.0,0.0,49,6.0,255,49.0,255,206,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-28,SKU001,Furniture,Chair,58.0,0.0,85,6.0,255,85.0,255,170,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-29,SKU001,Furniture,Chair,55.0,0.0,165,6.0,255,165.0,255,90,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-30,SKU001,Furniture,Chair,40.0,54.0,0,6.0,255,54.0,255,201,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-31,SKU001,Furniture,Chair,72.0,0.0,187,6.0,255,187.0,255,68,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-01,SKU001,Furniture,Chair,61.0,0.0,30,6.0,255,30.0,255,225,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-02,SKU001,Furniture,Chair,59.0,0.0,27,6.0,255,27.0,255,228,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-03,SKU001,Furniture,Chair,54.0,0.0,176,6.0,255,176.0,255,79,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-04,SKU001,Furniture,Chair,50.0,0.0,56,6.0,255,56.0,255,199,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-05,SKU001,Furniture,Chair,79.0,0.0,61,6.0,255,61.0,255,194,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-06,SKU001,Furniture,Chair,48.0,108.0,0,6.0,255,108.0,255,147,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-07,SKU001,Furniture,Chair,81.0,27.0,54,6.0,255,81.0,255,174,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-08,SKU001,Furniture,Chair,51.0,0.0,128,6.0,255,128.0,255,127,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-09,SKU001,Furniture,Chair,61.0,0.0,31,6.0,255,31.0,255,224,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-10,SKU001,Furniture,Chair,50.0,0.0,172,6.0,255,172.0,255,83,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-11,SKU001,Furniture,Chair,40.0,0.0,121,6.0,255,121.0,255,134,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-12,SKU001,Furniture,Chair,46.0,54.0,0,6.0,255,54.0,255,201,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-13,SKU001,Furniture,Chair,50.0,4.0,85,6.0,255,89.0,255,166,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-14,SKU001,Furniture,Chair,63.0,0.0,77,6.0,255,77.0,255,178,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-15,SKU001,Furniture,Chair,50.0,0.0,69,6.0,255,69.0,255,186,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-16,SKU001,Furniture,Chair,44.0,0.0,189,6.0,255,189.0,255,66,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-17,SKU001,Furniture,Chair,46.0,0.0,76,6.0,255,76.0,255,179,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-18,SKU001,Furniture,Chair,36.0,28.0,0,6.0,255,28.0,255,227,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-19,SKU001,Furniture,Chair,49.0,0.0,101,6.0,255,101.0,255,154,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-20,SKU001,Furniture,Chair,58.0,0.0,67,6.0,255,67.0,255,188,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-21,SKU001,Furniture,Chair,58.0,0.0,70,6.0,255,70.0,255,185,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-22,SKU001,Furniture,Chair,36.0,0.0,69,6.0,255,69.0,255,186,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-23,SKU001,Furniture,Chair,59.0,0.0,47,6.0,255,47.0,255,208,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-24,SKU001,Furniture,Chair,50.0,124.0,0,6.0,255,124.0,255,131,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-25,SKU001,Furniture,Chair,55.0,69.0,55,6.0,255,124.0,255,131,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-26,SKU001,Furniture,Chair,45.0,24.0,27,6.0,255,51.0,255,204,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-27,SKU001,Furniture,Chair,51.0,0.0,156,6.0,255,156.0,255,99,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-28,SKU001,Furniture,Chair,78.0,0.0,100,6.0,255,100.0,255,155,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-01,SKU001,Furniture,Chair,50.0,0.0,84,6.0,255,84.0,255,171,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
