actual_demand,baseline_forecast,error,absolute_error,cumulative_error,calculated_error,calculated_absolute_error,percentage_error,forecast_accuracy
2666.0,2262.0,404.0,404.0,404.0,404.0,404.0,15.153788447111777,84.84621155288824
2559.0,2262.0,297.0,297.0,701.0,297.0,297.0,11.606096131301289,88.39390386869871
2935.0,2262.0,673.0,673.0,1374.0,673.0,673.0,22.93015332197615,77.06984667802385
2647.0,2262.0,385.0,385.0,1759.0,385.0,385.0,14.544767661503588,85.45523233849642
2855.0,2262.0,593.0,593.0,2352.0,593.0,593.0,20.770577933450088,79.22942206654992
2988.0,2262.0,726.0,726.0,3078.0,726.0,726.0,24.29718875502008,75.70281124497991
3088.0,2262.0,826.0,826.0,3904.0,826.0,826.0,26.748704663212436,73.25129533678756
3442.0,2262.0,1180.0,1180.0,5084.0,1180.0,1180.0,34.282393957001744,65.71760604299826
3310.0,2262.0,1048.0,1048.0,6132.0,1048.0,1048.0,31.661631419939578,68.33836858006042
3021.0,2262.0,759.0,759.0,6891.0,759.0,759.0,25.12413108242304,74.87586891757697
2722.0,2262.0,460.0,460.0,7351.0,460.0,460.0,16.899338721528288,83.1006612784717
2937.0,2262.0,675.0,675.0,8026.0,675.0,675.0,22.982635342185905,77.0173646578141
3005.0,2262.0,743.0,743.0,8769.0,743.0,743.0,24.725457570715477,75.27454242928454
2279.0,2262.0,17.0,17.0,8786.0,17.0,17.0,0.7459412022817025,99.25405879771829
2617.0,2262.0,355.0,355.0,9141.0,355.0,355.0,13.565150936186473,86.43484906381353
2577.0,2262.0,315.0,315.0,9456.0,315.0,315.0,12.223515715948778,87.77648428405122
2182.0,2262.0,-80.0,80.0,9376.0,-80.0,80.0,3.666361136571952,96.33363886342805
1973.0,2262.0,-289.0,289.0,9087.0,-289.0,289.0,14.6477445514445,85.3522554485555
2311.0,2262.0,49.0,49.0,9136.0,49.0,49.0,2.120294244915621,97.87970575508437
2156.0,2262.0,-106.0,106.0,9030.0,-106.0,106.0,4.916512059369202,95.08348794063079
2242.0,2262.0,-20.0,20.0,9010.0,-20.0,20.0,0.8920606601248885,99.1079393398751
2626.0,2262.0,364.0,364.0,9374.0,364.0,364.0,13.861386138613863,86.13861386138613
2459.0,2262.0,197.0,197.0,9571.0,197.0,197.0,8.011386742578285,91.98861325742172
2118.0,2262.0,-144.0,144.0,9427.0,-144.0,144.0,6.79886685552408,93.20113314447592
1921.0,2262.0,-341.0,341.0,9086.0,-341.0,341.0,17.751171264966164,82.24882873503383
2395.0,2262.0,133.0,133.0,9219.0,133.0,133.0,5.553235908141962,94.44676409185804
2248.0,2262.0,-14.0,14.0,9205.0,-14.0,14.0,0.6227758007117438,99.37722419928826
2151.0,2262.0,-111.0,111.0,9094.0,-111.0,111.0,5.160390516039052,94.83960948396096
