date,sku_id,units_sold,revenue,price,promo_flag,calculated_revenue,revenue_difference,revenue_consistency_flag
2025-01-01,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-01-02,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-01-03,SKU001,49.0,231783.72,4664.22,0,228546.78,3236.9400000000023,REVENUE_MISMATCH
2025-01-04,SKU001,74.0,350040.72,7387.17,0,546650.58,-196609.86,REVENUE_MISMATCH
2025-01-05,SKU001,43.0,203402.04,4730.28,0,203402.03999999998,2.9103830456733704e-11,OK
2025-01-06,SKU001,56.0,264895.68,1404.39,0,78645.84000000001,186249.83999999997,REVENUE_MISMATCH
2025-01-07,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-01-08,SKU001,51.0,241244.28,6462.39,0,329581.89,-88337.61000000002,REVENUE_MISMATCH
2025-01-09,SKU001,65.0,307468.2,6462.39,0,420055.35000000003,-112587.15000000002,REVENUE_MISMATCH
2025-01-10,SKU001,70.0,304630.03,3737.54,1,261627.8,43002.23000000004,REVENUE_MISMATCH
2025-01-11,SKU001,84.0,365556.04,4730.28,1,397343.51999999996,-31787.47999999998,REVENUE_MISMATCH
2025-01-12,SKU001,59.0,256759.6,3737.54,1,220514.86,36244.74000000002,REVENUE_MISMATCH
2025-01-13,SKU001,43.0,187129.88,7237.42,1,311209.06,-124079.18,REVENUE_MISMATCH
2025-01-14,SKU001,66.0,287222.6,7237.42,1,477669.72000000003,-190447.12000000005,REVENUE_MISMATCH
2025-01-15,SKU001,74.0,322037.46,4272.13,1,316137.62,5899.840000000026,REVENUE_MISMATCH
2025-01-16,SKU001,50.0,236514.0,8525.33,0,426266.5,-189752.5,REVENUE_MISMATCH
2025-01-17,SKU001,40.0,189211.2,8525.33,0,341013.2,-151802.0,REVENUE_MISMATCH
2025-01-18,SKU001,58.0,274356.24,3211.11,0,186244.38,88111.85999999999,REVENUE_MISMATCH
2025-01-19,SKU001,66.0,312198.48,3211.11,0,211933.26,100265.21999999997,REVENUE_MISMATCH
2025-01-20,SKU001,41.0,193941.48,3211.11,0,131655.51,62285.97,REVENUE_MISMATCH
2025-01-21,SKU001,54.0,255435.12,1437.45,0,77622.3,177812.82,REVENUE_MISMATCH
2025-01-22,SKU001,58.0,274356.24,2416.11,0,140134.38,134221.86,REVENUE_MISMATCH
2025-01-23,SKU001,77.0,364231.56,4730.28,0,364231.56,0.0,OK
2025-01-24,SKU001,61.0,288547.08,7593.32,0,463192.51999999996,-174645.43999999994,REVENUE_MISMATCH
2025-01-25,SKU001,51.0,241244.28,3475.7,0,177260.69999999998,63983.580000000016,REVENUE_MISMATCH
2025-01-26,SKU001,78.0,368961.84,4730.28,0,368961.83999999997,5.820766091346741e-11,OK
2025-01-27,SKU001,58.0,274356.24,4670.21,0,270872.18,3484.0599999999977,REVENUE_MISMATCH
