sku_id,average_inventory_position,average_target_inventory,total_recommended_order_qty,risk_records
SKU001,104.73076923076923,255.0,82386,544
SKU002,51.61596958174905,107.0,31006,524
SKU003,21.276556776556777,48.0,14626,541
SKU004,113.04470588235294,360.0,112977,420
SKU005,160.3021978021978,460.0,163666,545
SKU006,24.783882783882785,129.0,56902,546
SKU007,158.87545787545787,417.0,141605,544
SKU008,186.52747252747253,209.0,31686,388
SKU009,31.646520146520146,57.0,13980,515
SKU010,96.3452157598499,394.0,158650,533
SKU011,196.03377110694183,1231.0,551637,533
SKU012,96.56959706959707,237.0,77099,543
SKU013,37.13747228381375,181.0,65480,444
SKU014,156.07037037037037,690.0,288322,540
SKU015,142.8757281553398,373.0,122739,511
SKU016,163.04761904761904,255.0,56659,455
SKU017,145.31447963800906,428.0,137876,438
SKU018,147.26007326007326,786.0,348752,546
SKU019,71.73626373626374,94.0,17485,399
SKU020,193.99607843137255,774.0,297529,504
SKU021,186.78024193548387,495.0,163639,493
SKU022,99.85164835164835,123.0,21208,400
SKU023,181.62637362637363,821.0,349098,546
SKU024,85.93103448275862,174.0,48811,519
SKU025,119.51465201465201,714.0,324589,546
SKU026,175.63186813186815,349.0,94984,539
SKU027,67.14102564102564,391.0,176827,546
SKU028,122.35347985347985,483.0,196913,546
SKU029,93.83847980997625,184.0,51332,419
SKU030,88.58241758241758,235.0,80179,545
SKU031,59.67628865979381,73.0,17572,477
SKU032,48.06410256410256,77.0,17868,467
SKU033,92.65217391304348,71.0,13784,411
SKU034,126.7948717948718,200.0,44639,449
SKU035,126.41391941391942,604.0,260762,546
SKU036,65.32783882783883,264.0,108475,546
SKU037,51.88487584650113,201.0,67342,440
SKU038,133.7912087912088,95.0,8898,421
SKU039,117.35897435897436,195.0,45648,460
SKU040,122.97069597069597,271.0,80948,544
