sku_id,category,subcategory,launch_date,unit_cost,list_price,sku_quality_flag
SKU001,Furniture,Chair,2024-02-14,2362.73,4730.28,OK
SKU002,Home Decor,Clock,2025-01-21,3577.63,4664.22,OK
SKU003,Small Appliances,Toaster,2024-09-20,3877.36,7387.17,OK
SKU004,Office,Organizer,2025-05-02,902.13,1404.39,OK
SKU005,Furniture,Chair,2024-09-07,4655.8,8102.01,OK
SKU006,Home Decor,home decor,2024-07-04,4166.98,6462.39,UNUSUAL_SUBCATEGORY
SKU007,Small Appliances,Toaster,2024-08-13,2906.55,3737.54,OK
SKU008,Office,Organizer,2024-04-23,4189.87,7237.42,OK
SKU009,Furniture,Chair,2024-03-23,1966.27,4272.13,OK
SKU010,Home Decor,Clock,2025-01-14,4497.67,8525.33,OK
SKU011,Small Appliances,Toaster,2025-01-14,2493.59,3177.89,OK
SKU012,Office,Organizer,2024-04-07,1025.16,1827.6,OK
SKU013,Furniture,Chair,2025-04-06,4847.3,7066.44,OK
SKU014,Home Decor,Clock,2025-01-07,2041.16,3211.11,OK
SKU015,Small Appliances,Toaster,2025-02-01,910.63,1437.45,OK
SKU016,Office,Organizer,2024-04-04,1366.47,2416.11,OK
SKU017,Furniture,Chair,2025-04-15,4213.59,7593.32,OK
SKU018,Home Decor,Clock,2024-08-06,,3475.7,MISSING_UNIT_COST
SKU019,Small Appliances,Toaster,2024-08-05,2121.15,3034.18,OK
SKU020,Office,Organizer,2025-02-06,3507.73,4670.21,OK
SKU021,Furniture,Chair,2025-02-20,334.6,637.85,OK
SKU022,Home Decor,Clock,2024-04-09,3424.8,6190.98,OK
SKU023,Small Appliances,Toaster,2024-05-18,2456.9,4088.42,OK
SKU024,Office,Organizer,2025-01-25,957.05,1259.42,OK
SKU025,Furniture,Chair,2024-08-07,2514.15,4175.17,OK
SKU026,Home Decor,Clock,2024-11-30,3895.49,6741.37,OK
SKU027,Small Appliances,Toaster,2024-10-09,2928.27,4221.74,OK
SKU028,Office,Organizer,2024-10-03,444.84,687.38,OK
SKU029,Furniture,Chair,2025-05-06,2220.08,4428.57,OK
SKU030,Home Decor,Clock,2024-04-17,1399.52,1795.19,OK
SKU031,Small Appliances,Toaster,2025-03-03,1679.89,2955.84,OK
SKU032,Office,Organizer,2024-05-20,2918.05,5551.47,OK
SKU033,Furniture,Chair,2025-05-13,2210.02,4290.53,OK
SKU034,Home Decor,Clock,2024-11-28,1084.77,1369.57,OK
SKU035,Small Appliances,Toaster,2024-02-23,3695.09,5788.57,OK
SKU036,Office,Organizer,2024-02-15,1057.98,1693.76,OK
SKU037,Furniture,Chair,2025-04-14,3572.71,5549.02,OK
SKU038,Home Decor,Clock,2024-03-17,2090.8,3010.64,OK
SKU039,Small Appliances,Toaster,2024-12-07,2000.52,2600.37,OK
SKU040,Office,Organizer,2024-11-11,854.63,1844.52,OK
