sku_id,total_records,stockout_records,reorder_point_breaches,lead_time_risk_records,average_on_hand_units,average_coverage_days,stockout_rate
SKU006,546,497,545,545,1.1376146788990826,0.08057304639757415,0.9102564102564102
SKU036,546,495,545,545,3.0642201834862384,0.08113793502344745,0.9065934065934066
SKU018,546,494,546,546,6.721611721611722,0.0814234685953897,0.9047619047619048
SKU025,546,493,542,542,5.987084870848708,0.08778292487669902,0.9029304029304029
SKU010,546,489,546,546,11.734432234432234,0.20682028970445357,0.8956043956043956
SKU035,546,484,545,545,9.744954128440368,0.1384745199387997,0.8864468864468864
SKU027,546,480,545,545,4.752293577981652,0.13066533858283721,0.8791208791208791
SKU007,546,479,544,544,12.31743119266055,0.13827290248761587,0.8772893772893773
SKU011,546,478,545,545,23.855045871559632,0.21736826767773249,0.8754578754578755
SKU028,546,473,546,546,9.591575091575091,0.1354735235533021,0.8663003663003663
SKU023,546,464,546,546,15.43956043956044,0.14922995220392987,0.8498168498168498
SKU030,546,456,544,545,8.394495412844037,0.16022493516789638,0.8351648351648352
SKU014,546,451,546,546,19.124542124542124,0.2295149068195561,0.826007326007326
SKU003,546,444,542,543,2.0828729281767955,0.17344038718690413,0.8131868131868132
SKU020,546,443,520,529,71.57326007326007,0.6848473290311938,0.8113553113553114
SKU005,546,430,544,544,17.981617647058822,0.19988524034557836,0.7875457875457875
SKU012,546,420,543,544,12.634191176470589,0.23400618685684527,0.7692307692307693
SKU040,546,419,545,545,16.201834862385322,0.23331667769648912,0.7673992673992674
SKU002,546,417,514,523,18.31192660550459,0.6713181903049493,0.7637362637362637
SKU001,546,414,542,543,13.767955801104973,0.2335146579089002,0.7582417582417582
SKU015,546,414,510,519,59.35897435897436,0.7844261577807035,0.7582417582417582
SKU024,546,409,511,519,31.424908424908423,0.7019170816346683,0.7490842490842491
SKU013,546,396,501,533,35.12820512820513,1.8497163470893767,0.7252747252747253
SKU009,546,390,546,546,5.1208791208791204,0.27379553466509987,0.7142857142857143
SKU037,546,386,476,511,54.275735294117645,2.1268598615916954,0.706959706959707
SKU021,546,383,485,486,133.36263736263737,1.5292536847039218,0.7014652014652014
SKU026,546,355,543,543,33.3646408839779,0.32351436552392,0.6501831501831502
SKU031,546,352,441,451,61.95779816513762,3.083268223896136,0.6446886446886447
SKU017,546,352,436,446,198.34432234432234,3.477516480610491,0.6446886446886447
SKU029,546,338,408,423,142.6153846153846,4.574209730540677,0.6190476190476191
SKU004,546,336,443,456,142.04403669724772,3.161824521883951,0.6153846153846154
SKU032,546,303,536,537,14.025688073394495,0.507490105240119,0.554945054945055
SKU034,546,300,540,542,33.43302752293578,0.4364896350523167,0.5494505494505495
SKU022,546,299,520,537,27.721100917431194,0.4733166896277888,0.5476190476190477
SKU016,546,296,535,535,45.302025782688766,0.46818038456518907,0.5421245421245421
SKU019,546,294,523,536,21.245871559633027,0.5236894890325328,0.5384615384615384
SKU033,546,292,365,373,167.97798165137615,7.848198217319685,0.5347985347985348
SKU038,546,289,448,522,39.333333333333336,0.4857504749841671,0.5293040293040293
SKU039,546,288,539,540,31.68807339449541,0.45743828023674743,0.5274725274725275
SKU008,546,280,511,513,52.18899082568807,0.4837071633139652,0.5128205128205128
