date,sku_id,units_sold,revenue,price,promo_flag
2025-01-01,SKU001,52.0,245974.56,4730.28,0
2025-01-02,SKU001,69.0,326389.32,4730.28,0
2025-01-03,SKU001,49.0,231783.72,4730.28,0
2025-01-04,SKU001,74.0,350040.72,4730.28,0
2025-01-05,SKU001,43.0,203402.04,4730.28,0
2025-01-06,SKU001,56.0,264895.68,4730.28,0
2025-01-07,SKU001,46.0,217592.88,4730.28,0
2025-01-08,SKU001,51.0,241244.28,4730.28,0
2025-01-09,SKU001,65.0,307468.2,4730.28,0
2025-01-10,SKU001,70.0,304630.03,4730.28,1
2025-01-11,SKU001,84.0,365556.04,4730.28,1
2025-01-12,SKU001,59.0,256759.6,4730.28,1
2025-01-13,SKU001,43.0,187129.88,4730.28,1
2025-01-14,SKU001,66.0,287222.6,4730.28,1
2025-01-15,SKU001,74.0,322037.46,4730.28,1
2025-01-16,SKU001,50.0,236514.0,4730.28,0
2025-01-17,SKU001,40.0,189211.2,4730.28,0
2025-01-18,SKU001,58.0,274356.24,4730.28,0
2025-01-19,SKU001,66.0,312198.48,4730.28,0
2025-01-20,SKU001,41.0,193941.48,4730.28,0
2025-01-21,SKU001,54.0,255435.12,4730.28,0
2025-01-22,SKU001,58.0,274356.24,4730.28,0
2025-01-23,SKU001,77.0,364231.56,4730.28,0
2025-01-24,SKU001,61.0,288547.08,4730.28,0
2025-01-25,SKU001,51.0,241244.28,4730.28,0
2025-01-26,SKU001,78.0,368961.84,4730.28,0
2025-01-27,SKU001,58.0,274356.24,4730.28,0
2025-01-28,SKU001,58.0,274356.24,4730.28,0
2025-01-29,SKU001,55.0,260165.4,4730.28,0
2025-01-30,SKU001,40.0,189211.2,4730.28,0
2025-01-31,SKU001,72.0,340580.16,4730.28,0
2025-02-01,SKU001,61.0,288547.08,4730.28,0
2025-02-02,SKU001,59.0,279086.52,4730.28,0
2025-02-03,SKU001,54.0,255435.12,4730.28,0
2025-02-04,SKU001,50.0,236514.0,4730.28,0
2025-02-05,SKU001,79.0,373692.12,4730.28,0
2025-02-06,SKU001,48.0,227053.44,4730.28,0
2025-02-07,SKU001,81.0,383152.68,4730.28,0
2025-02-08,SKU001,51.0,241244.28,4730.28,0
2025-02-09,SKU001,61.0,288547.08,4730.28,0
2025-02-10,SKU001,50.0,236514.0,4730.28,0
2025-02-11,SKU001,40.0,189211.2,4730.28,0
2025-02-12,SKU001,46.0,217592.88,4730.28,0
2025-02-13,SKU001,50.0,236514.0,4730.28,0
2025-02-14,SKU001,63.0,298007.64,4730.28,0
2025-02-15,SKU001,50.0,236514.0,4730.28,0
2025-02-16,SKU001,44.0,208132.32,4730.28,0
2025-02-17,SKU001,46.0,217592.88,4730.28,0
2025-02-18,SKU001,36.0,170290.08,4730.28,0
2025-02-19,SKU001,49.0,231783.72,4730.28,0
2025-02-20,SKU001,58.0,274356.24,4730.28,0
2025-02-21,SKU001,58.0,274356.24,4730.28,0
2025-02-22,SKU001,36.0,170290.08,4730.28,0
2025-02-23,SKU001,59.0,279086.52,4730.28,0
2025-02-24,SKU001,50.0,236514.0,4730.28,0
2025-02-25,SKU001,55.0,260165.4,4730.28,0
2025-02-26,SKU001,45.0,212862.6,4730.28,0
2025-02-27,SKU001,51.0,241244.28,4730.28,0
2025-02-28,SKU001,78.0,368961.84,4730.28,0
2025-03-01,SKU001,50.0,236514.0,4730.28,0
2025-03-02,SKU001,51.0,241244.28,4730.28,0
2025-03-03,SKU001,43.0,203402.04,4730.28,0
2025-03-04,SKU001,48.0,227053.44,4730.28,0
2025-03-05,SKU001,58.0,274356.24,4730.28,0
2025-03-06,SKU001,44.0,208132.32,4730.28,0
2025-03-07,SKU001,64.0,302737.92,4730.28,0
2025-03-08,SKU001,50.0,236514.0,4730.28,0
2025-03-09,SKU001,52.0,245974.56,4730.28,0
2025-03-10,SKU001,41.0,193941.48,4730.28,0
2025-03-11,SKU001,40.0,189211.2,4730.28,0
2025-03-12,SKU001,59.0,279086.52,4730.28,0
2025-03-13,SKU001,48.0,227053.44,4730.28,0
2025-03-14,SKU001,54.0,255435.12,4730.28,0
2025-03-15,SKU001,69.0,326389.32,4730.28,0
2025-03-16,SKU001,45.0,212862.6,4730.28,0
2025-03-17,SKU001,42.0,198671.76,4730.28,0
2025-03-18,SKU001,34.0,160829.52,4730.28,0
2025-03-19,SKU001,46.0,217592.88,4730.28,0
2025-03-20,SKU001,59.0,256759.6,4730.28,1
2025-03-21,SKU001,73.0,317685.6,4730.28,1
2025-03-22,SKU001,80.0,348148.61,4730.28,1
2025-03-23,SKU001,81.0,352500.47,4730.28,1
2025-03-24,SKU001,52.0,226296.6,4730.28,1
2025-03-25,SKU001,53.0,230648.45,4730.28,1
2025-03-26,SKU001,69.0,300278.17,4730.28,1
2025-03-27,SKU001,54.0,235000.31,4730.28,1
2025-03-28,SKU001,69.0,326389.32,4730.28,0
2025-03-29,SKU001,64.0,302737.92,4730.28,0
2025-03-30,SKU001,47.0,222323.16,4730.28,0
2025-03-31,SKU001,44.0,208132.32,4730.28,0
2025-04-01,SKU001,59.0,279086.52,4730.28,0
2025-04-02,SKU001,71.0,335849.88,4730.28,0
2025-04-03,SKU001,38.0,179750.64,4730.28,0
2025-04-04,SKU001,60.0,283816.8,4730.28,0
2025-04-05,SKU001,69.0,326389.32,4730.28,0
2025-04-06,SKU001,37.0,175020.36,4730.28,0
2025-04-07,SKU001,57.0,269625.96,4730.28,0
2025-04-08,SKU001,47.0,222323.16,4730.28,0
2025-04-09,SKU001,35.0,165559.8,4730.28,0
2025-04-10,SKU001,42.0,198671.76,4730.28,0
2025-04-11,SKU001,48.0,227053.44,4730.28,0
2025-04-12,SKU001,66.0,312198.48,4730.28,0
2025-04-13,SKU001,57.0,269625.96,4730.28,0
2025-04-14,SKU001,46.0,217592.88,4730.28,0
2025-04-15,SKU001,69.0,326389.32,4730.28,0
2025-04-16,SKU001,50.0,236514.0,4730.28,0
2025-04-17,SKU001,55.0,260165.4,4730.28,0
2025-04-18,SKU001,52.0,245974.56,4730.28,0
2025-04-19,SKU001,40.0,189211.2,4730.28,0
2025-04-20,SKU001,37.0,175020.36,4730.28,0
2025-04-21,SKU001,54.0,255435.12,4730.28,0
2025-04-22,SKU001,66.0,312198.48,4730.28,0
2025-04-23,SKU001,48.0,227053.44,4730.28,0
2025-04-24,SKU001,72.0,340580.16,4730.28,0
2025-04-25,SKU001,45.0,212862.6,4730.28,0
2025-04-26,SKU001,63.0,298007.64,4730.28,0
2025-04-27,SKU001,42.0,198671.76,4730.28,0
2025-04-28,SKU001,33.0,156099.24,4730.28,0
2025-04-29,SKU001,51.0,241244.28,4730.28,0
2025-04-30,SKU001,51.0,241244.28,4730.28,0
2025-05-01,SKU001,58.0,274356.24,4730.28,0
2025-05-02,SKU001,71.0,335849.88,4730.28,0
2025-05-03,SKU001,49.0,231783.72,4730.28,0
2025-05-04,SKU001,58.0,274356.24,4730.28,0
2025-05-05,SKU001,47.0,222323.16,4730.28,0
2025-05-06,SKU001,36.0,170290.08,4730.28,0
2025-05-07,SKU001,50.0,236514.0,4730.28,0
2025-05-08,SKU001,69.0,326389.32,4730.28,0
2025-05-09,SKU001,61.0,288547.08,4730.28,0
2025-05-10,SKU001,47.0,222323.16,4730.28,0
2025-05-11,SKU001,37.0,175020.36,4730.28,0
2025-05-12,SKU001,39.0,184480.92,4730.28,0
2025-05-13,SKU001,51.0,241244.28,4730.28,0
2025-05-14,SKU001,41.0,193941.48,4730.28,0
2025-05-15,SKU001,41.0,193941.48,4730.28,0
2025-05-16,SKU001,49.0,231783.72,4730.28,0
2025-05-17,SKU001,62.0,293277.36,4730.28,0
2025-05-18,SKU001,49.0,231783.72,4730.28,0
2025-05-19,SKU001,46.0,217592.88,4730.28,0
2025-05-20,SKU001,51.0,241244.28,4730.28,0
2025-05-21,SKU001,48.0,227053.44,4730.28,0
2025-05-22,SKU001,47.0,222323.16,4730.28,0
2025-05-23,SKU001,53.0,250704.84,4730.28,0
2025-05-24,SKU001,52.0,245974.56,4730.28,0
2025-05-25,SKU001,47.0,222323.16,4730.28,0
2025-05-26,SKU001,45.0,212862.6,4730.28,0
2025-05-27,SKU001,60.0,283816.8,4730.28,0
2025-05-28,SKU001,45.0,212862.6,4730.28,0
2025-05-29,SKU001,48.0,227053.44,4730.28,0
2025-05-30,SKU001,53.0,250704.84,4730.28,0
2025-05-31,SKU001,49.0,231783.72,4730.28,0
2025-06-01,SKU001,66.0,312198.48,4730.28,0
2025-06-02,SKU001,49.0,231783.72,4730.28,0
2025-06-03,SKU001,49.0,231783.72,4730.28,0
2025-06-04,SKU001,46.0,217592.88,4730.28,0
2025-06-05,SKU001,53.0,250704.84,4730.28,0
2025-06-06,SKU001,80.0,378422.4,4730.28,0
2025-06-07,SKU001,51.0,241244.28,4730.28,0
2025-06-08,SKU001,52.0,245974.56,4730.28,0
2025-06-09,SKU001,49.0,231783.72,4730.28,0
2025-06-10,SKU001,78.0,339444.89,4730.28,1
2025-06-11,SKU001,81.0,352500.47,4730.28,1
2025-06-12,SKU001,57.0,248055.88,4730.28,1
2025-06-13,SKU001,86.0,374259.75,4730.28,1
2025-06-14,SKU001,63.0,274167.03,4730.28,1
2025-06-15,SKU001,65.0,282870.74,4730.28,1
2025-06-16,SKU001,70.0,304630.03,4730.28,1
2025-06-17,SKU001,68.0,295926.32,4730.28,1
2025-06-18,SKU001,73.0,317685.6,4730.28,1
2025-06-19,SKU001,59.0,256759.6,4730.28,1
2025-06-20,SKU001,77.0,335093.04,4730.28,1
2025-06-21,SKU001,69.0,326389.32,4730.28,0
2025-06-22,SKU001,38.0,179750.64,4730.28,0
2025-06-23,SKU001,55.0,260165.4,4730.28,0
2025-06-24,SKU001,70.0,331119.6,4730.28,0
2025-06-25,SKU001,60.0,283816.8,4730.28,0
2025-06-26,SKU001,62.0,293277.36,4730.28,0
2025-06-27,SKU001,74.0,350040.72,4730.28,0
2025-06-28,SKU001,58.0,274356.24,4730.28,0
2025-06-29,SKU001,55.0,260165.4,4730.28,0
2025-06-30,SKU001,62.0,293277.36,4730.28,0
2025-07-01,SKU001,62.0,293277.36,4730.28,0
2025-07-02,SKU001,47.0,222323.16,4730.28,0
2025-07-03,SKU001,58.0,274356.24,4730.28,0
2025-07-04,SKU001,71.0,335849.88,4730.28,0
2025-07-05,SKU001,73.0,345310.44,4730.28,0
2025-07-06,SKU001,48.0,227053.44,4730.28,0
2025-07-07,SKU001,50.0,236514.0,4730.28,0
2025-07-08,SKU001,60.0,283816.8,4730.28,0
2025-07-09,SKU001,56.0,264895.68,4730.28,0
2025-07-10,SKU001,54.0,255435.12,4730.28,0
2025-07-11,SKU001,53.0,250704.84,4730.28,0
2025-07-12,SKU001,,359501.28,4730.28,0
2025-07-13,SKU001,51.0,241244.28,4730.28,0
2025-07-14,SKU001,45.0,212862.6,4730.28,0
